excerpt,author,book
"By this time we were at the boat-side, and he was handing me in. I did
not dream of hanging back; I thought (the poor fool!) that I had found
a good friend and helper, and I was rejoiced to see the ship. As soon as
we were all set in our places, the boat was thrust off from the pier
and began to move over the waters: and what with my pleasure in this new
movement and my surprise at our low position, and the appearance of the
shores, and the growing bigness of the brig as we drew near to it, I
could hardly understand what the captain said, and must have answered
him at random. As soon as we were alongside (where I sat fairly gaping at the ship’s
height, the strong humming of the tide against its sides, and the
pleasant cries of the seamen at their work) Hoseason, declaring that he
and I must be the first aboard, ordered a tackle to be sent down from
the main-yard. In this I was whipped into the air and set down again on
the deck, where the captain stood ready waiting for me, and instantly
slipped back his arm under mine. There I stood some while, a little
dizzy with the unsteadiness of all around me, perhaps a little afraid,
and yet vastly pleased with these strange sights; the captain meanwhile
pointing out the strangest, and telling me their names and uses.",Edith Wharton,wharton_age_of_innocence
"The next thing, I heard my uncle calling me, and found the pair in the
road together. It was the captain who addressed me, and that with an air
(very flattering to a young lad) of grave equality. “Sir,” said he, “Mr. Balfour tells me great things of you; and for my
own part, I like your looks. I wish I was for longer here, that we might
make the better friends; but we’ll make the most of what we have. Ye
shall come on board my brig for half an hour, till the ebb sets, and
drink a bowl with me.” Now, I longed to see the inside of a ship more than words can tell; but
I was not going to put myself in jeopardy, and I told him my uncle and I
had an appointment with a lawyer. “Ay, ay,” said he, “he passed me word of that. But, ye see, the boat’ll
set ye ashore at the town pier, and that’s but a penny stonecast from
Rankeillor’s house.” And here he suddenly leaned down and whispered in
my ear: “Take care of the old tod; he means mischief. Come aboard till
I can get a word with ye.” And then, passing his arm through mine, he
continued aloud, as he set off towards his boat: “But, come, what can I
bring ye from the Carolinas? Any friend of Mr. Balfour’s can command.
A roll of tobacco? Indian feather-work? a skin of a wild beast? a stone
pipe? the mocking-bird that mews for all the world like a cat? the
cardinal bird that is as red as blood?--take your pick and say your
pleasure.”",Edith Wharton,wharton_age_of_innocence
"All the time of our working at the boat, I remember only one other
thing: that I asked Alan, looking across at the shore, what country it
was; and he answered, it was the worst possible for him, for it was a
land of the Campbells. We had one of the wounded men told off to keep a watch upon the seas and
cry us warning. Well, we had the boat about ready to be launched, when
this man sang out pretty shrill: “For God’s sake, hold on!” We knew
by his tone that it was something more than ordinary; and sure enough,
there followed a sea so huge that it lifted the brig right up and canted
her over on her beam. Whether the cry came too late, or my hold was too
weak, I know not; but at the sudden tilting of the ship I was cast clean
over the bulwarks into the sea. I went down, and drank my fill, and then came up, and got a blink of the
moon, and then down again. They say a man sinks a third time for good. I
cannot be made like other folk, then; for I would not like to write how
often I went down, or how often I came up again. All the while, I was
being hurled along, and beaten upon and choked, and then swallowed
whole; and the thing was so distracting to my wits, that I was neither
sorry nor afraid.",Edith Wharton,wharton_age_of_innocence
"It was drawing on to sundown when I met a stout, dark, sour-looking
woman coming trudging down a hill; and she, when I had put my usual
question, turned sharp about, accompanied me back to the summit she had
just left, and pointed to a great bulk of building standing very bare
upon a green in the bottom of the next valley. The country was pleasant
round about, running in low hills, pleasantly watered and wooded, and
the crops, to my eyes, wonderfully good; but the house itself appeared
to be a kind of ruin; no road led up to it; no smoke arose from any of
the chimneys; nor was there any semblance of a garden. My heart sank.
“That!” I cried. The woman’s face lit up with a malignant anger. “That is the house of
Shaws!” she cried. “Blood built it; blood stopped the building of it;
blood shall bring it down. See here!” she cried again--“I spit upon
the ground, and crack my thumb at it! Black be its fall! If ye see the
laird, tell him what ye hear; tell him this makes the twelve hunner and
nineteen time that Jennet Clouston has called down the curse on him
and his house, byre and stable, man, guest, and master, wife, miss, or
bairn--black, black be their fall!”",Edith Wharton,wharton_age_of_innocence
"“And now,” said Alan, “let your hand keep your head, for the grip is
coming.” Alan drew a dirk, which he held in his left hand in case they should run
in under his sword. I, on my part, clambered up into the berth with
an armful of pistols and something of a heavy heart, and set open the
window where I was to watch. It was a small part of the deck that I
could overlook, but enough for our purpose. The sea had gone down, and
the wind was steady and kept the sails quiet; so that there was a
great stillness in the ship, in which I made sure I heard the sound of
muttering voices. A little after, and there came a clash of steel upon
the deck, by which I knew they were dealing out the cutlasses and one
had been let fall; and after that, silence again. I do not know if I was what you call afraid; but my heart beat like a
bird’s, both quick and little; and there was a dimness came before my
eyes which I continually rubbed away, and which continually returned. As
for hope, I had none; but only a darkness of despair and a sort of anger
against all the world that made me long to sell my life as dear as I was
able. I tried to pray, I remember, but that same hurry of my mind, like
a man running, would not suffer me to think upon the words; and my chief
wish was to have the thing begin and be done with it.",Edith Wharton,wharton_age_of_innocence
"And a change I was to get, as you shall hear; but I must first tell of
a conversation I had with Mr. Riach, which put a little heart in me to
bear my troubles. Getting him in a favourable stage of drink (for indeed
he never looked near me when he was sober), I pledged him to secrecy,
and told him my whole story. He declared it was like a ballad; that he would do his best to help
me; that I should have paper, pen, and ink, and write one line to Mr.
Campbell and another to Mr. Rankeillor; and that if I had told the
truth, ten to one he would be able (with their help) to pull me through
and set me in my rights. “And in the meantime,” says he, “keep your heart up. You’re not the only
one, I’ll tell you that. There’s many a man hoeing tobacco over-seas
that should be mounting his horse at his own door at home; many and
many! And life is all a variorum, at the best. Look at me: I’m a laird’s
son and more than half a doctor, and here I am, man-Jack to Hoseason!”",Edith Wharton,wharton_age_of_innocence
"“Why, sir,” said I, “if I knew where I was going, or what was likely
to become of me, I would tell you candidly. Essendean is a good place
indeed, and I have been very happy there; but then I have never been
anywhere else. My father and mother, since they are both dead, I shall
be no nearer to in Essendean than in the Kingdom of Hungary, and, to
speak truth, if I thought I had a chance to better myself where I was
going I would go with a good will.” “Ay?” said Mr. Campbell. “Very well, Davie. Then it behoves me to tell
your fortune; or so far as I may. When your mother was gone, and your
father (the worthy, Christian man) began to sicken for his end, he gave
me in charge a certain letter, which he said was your inheritance. ‘So
soon,’ says he, ‘as I am gone, and the house is redd up and the gear
disposed of’ (all which, Davie, hath been done), ‘give my boy this
letter into his hand, and start him off to the house of Shaws, not far
from Cramond. That is the place I came from,’ he said, ‘and it’s where
it befits that my boy should return. He is a steady lad,’ your father
said, ‘and a canny goer; and I doubt not he will come safe, and be well
liked where he goes.’”",Edith Wharton,wharton_age_of_innocence
"He came up to me with open arms. “Come to my arms!” he cried, and
embraced and kissed me hard upon both cheeks. “David,” said he, “I love
you like a brother. And O, man,” he cried in a kind of ecstasy, “am I no
a bonny fighter?” Thereupon he turned to the four enemies, passed his sword clean through
each of them, and tumbled them out of doors one after the other. As he
did so, he kept humming and singing and whistling to himself, like a man
trying to recall an air; only what _he_ was trying was to make one. All
the while, the flush was in his face, and his eyes were as bright as a
five-year-old child’s with a new toy. And presently he sat down upon the
table, sword in hand; the air that he was making all the time began to
run a little clearer, and then clearer still; and then out he burst with
a great voice into a Gaelic song. I have translated it here, not in verse (of which I have no skill) but
at least in the king’s English.",Edith Wharton,wharton_age_of_innocence
"“Hoot-toot, hoot-toot!” said he. “Lights in a house is a thing I dinnae
agree with. I’m unco feared of fires. Good-night to ye, Davie, my man.”
 And before I had time to add a further protest, he pulled the door to,
and I heard him lock me in from the outside. I did not know whether to laugh or cry. The room was as cold as a well,
and the bed, when I had found my way to it, as damp as a peat-hag; but
by good fortune I had caught up my bundle and my plaid, and rolling
myself in the latter, I lay down upon the floor under lee of the big
bedstead, and fell speedily asleep. With the first peep of day I opened my eyes, to find myself in a great
chamber, hung with stamped leather, furnished with fine embroidered
furniture, and lit by three fair windows. Ten years ago, or perhaps
twenty, it must have been as pleasant a room to lie down or to awake in
as a man could wish; but damp, dirt, disuse, and the mice and spiders
had done their worst since then. Many of the window-panes, besides, were
broken; and indeed this was so common a feature in that house, that I
believe my uncle must at some time have stood a siege from his indignant
neighbours--perhaps with Jennet Clouston at their head.",Edith Wharton,wharton_age_of_innocence
"“I know nothing I would help a Campbell to,” says he, “unless it was a
leaden bullet. I would hunt all of that name like blackcocks. If I lay
dying, I would crawl upon my knees to my chamber window for a shot at
one.” “Why, Alan,” I cried, “what ails ye at the Campbells?” “Well,” says he, “ye ken very well that I am an Appin Stewart, and the
Campbells have long harried and wasted those of my name; ay, and got
lands of us by treachery--but never with the sword,” he cried loudly,
and with the word brought down his fist upon the table. But I paid the
less attention to this, for I knew it was usually said by those who have
the underhand. “There’s more than that,” he continued, “and all in the
same story: lying words, lying papers, tricks fit for a peddler, and the
show of what’s legal over all, to make a man the more angry.” “You that are so wasteful of your buttons,” said I, “I can hardly think
you would be a good judge of business.”",Edith Wharton,wharton_age_of_innocence
