excerpt,author,book,bucket
"Her thoughts were speaking with her, speaking pleasantly, as it seemed, for she smiled as she listened. She looked pretty meditating thus; but a brighter thing than she was in that apartment--the spirit of youthful Hope. According to this flattering prophet, she was to know disappointment, to feel chill no more; she had entered on the dawn of a summer day--no false dawn, but the true spring of morning--and her sun would quickly rise. Impossible for her now to suspect that she was the sport of delusion; her expectations seemed warranted, the foundation on which they rested appeared solid.",Charlotte Brontë,bronte_shirley,short
"I should have said nothing could have equalled it; but I remember a fact which strangely astonished Caroline Helstone. It was--to discover that her cousin had absolutely _no_ sympathizing friend at Fieldhead; that to Miss Keeldar he was as much a mere teacher, as little a gentleman, as little a man, as to the estimable Misses Sympson.",Charlotte Brontë,bronte_shirley,short
"""Nothing as yet, nor perhaps will be; but Moore is alone there. He has sent all the workmen he can trust to Stilbro'; there are only two women left about the place. It would be a nice opportunity for any of his well-wishers to pay him a visit, if they knew how straight the path was made before them.""",Charlotte Brontë,bronte_shirley,short
"""Things that astonished us. Shirley laughed at last; I cried; mamma was seriously annoyed. We were all three driven from the field. Since that time I have only walked once a day past the house, just for the satisfaction of looking up at your window, which I could distinguish by the drawn curtains. I really dared not come in.""",Charlotte Brontë,bronte_shirley,short
"""Your cousin Hortense is an excellent sister, Miss Helstone. Such ladies as come to try their life's luck here at Hollow's Cottage may, by a very little clever female artifice, cajole the mistress of the house, and have the game all in their own hands. You are fond of your cousin's society, I dare say, miss?""",Charlotte Brontë,bronte_shirley,short
"Mr. Sykes didn't mind if he did. This was a cold morning (Sugden had found it a warm one); it was necessary to be careful at this season of the year--it was proper to take something to keep the damp out; he had a little cough already (here he coughed in attestation of the fact); something of this sort (lifting the black bottle) was excellent, taken medicinally (he poured the physic into his tumbler); he didn't make a practice of drinking spirits in a morning, but occasionally it really was prudent to take precautions.",Charlotte Brontë,bronte_shirley,short
"The next day several callers came. It had become known that Miss Helstone was worse. Mr. Hall and his sister Margaret arrived. Both, after they had been in the sickroom, quitted it in tears; they had found the patient more altered than they expected. Hortense Moore came. Caroline seemed stimulated by her presence. She assured her, smiling, she was not dangerously ill; she talked to her in a low voice, but cheerfully. During her stay, excitement kept up the flush of her complexion; she looked better.",Charlotte Brontë,bronte_shirley,short
"""I don't find it so, miss. Me and Eliza are company for one another; but you are quite too still. You should visit more. Now, be persuaded: go upstairs and dress yourself smart, and go and take tea, in a friendly way, with Miss Mann or Miss Ainley. I am certain either of those ladies would be delighted to see you.""",Charlotte Brontë,bronte_shirley,short
"She stopped, then went on, ""Mother, the Lord who gave each of us our talents will come home some day, and will demand from all an account. The teapot, the old stocking-foot, the linen rag, the willow-pattern tureen will yield up their barren deposit in many a house. Suffer your daughters, at least, to put their money to the exchangers, that they may be enabled at the Master's coming to pay Him His own with usury.""",Charlotte Brontë,bronte_shirley,short
"The meal at last drew to a close. It would have been over long ago if Mr. Donne had not persisted in sitting with his cup half full of cold tea before him, long after the rest had finished and after he himself had discussed such allowance of viands as he felt competent to swallow--long, indeed, after signs of impatience had been manifested all round the board, till chairs were pushed back, till the talk flagged, till silence fell. Vainly did Caroline inquire repeatedly if he would have another cup, if he would take a little hot tea, as that",Charlotte Brontë,bronte_shirley,short
